,id,titulo do artigo,abstract,classificacao_llm_final
31,32,A Comparative Study of the Introduction of Restrictions to Large-Scale Mining in Four Latin American Countries,"Institutions are important to enhance the contribution of mining industries not only to economic growth, but also to environmental justice and equality. In this paper, we study the processes by which four Latin American countries modified their existing institutions to manage the effects or large-scale mining in their territories. We focus on the political struggles to introduce legislation to restrict the geographical expansion of large-scale mining in their territories. To this end, we integrate a leading theory of the policy process with theoretical insights from studies of environmental governance and political settlements. Our findings show that processes of policy change followed distinct paths with common elements. The elements that link the initial conditions with change are policy learning, challenges to dominant policy images, conflict expansion, and the involvement of veto players. We also observe that the outputs of the reforms diverge significantly. Three contextual variables contributed to the variability of the outputs of these reforms; the degree of cohesion of elites, the degree of development of environmental institutions, and the relative dependency on mineral revenues. During the processes of policy making, these institutions offered different opportunities and constraints for policy challengers to advance their agenda and for dominant actors to maintain the status quo. The new policy designs offer opportunities for countries to deal with the effects of mining on sensitive ecosystems but political instability threatens the long-term institutionalization of these reforms.",Mining
32,33,Large-scale environmental policy change: analysis of the Brazilian reality,"The Brazilian presidential elections of 2018 brought large-scale changes in the Brazilian environmental policy subsystem. The purpose of this article is to analyze these changes through the lenses of the Advocacy Coalition Framework - ACF. First, we introduced some of the main characteristics of this subsystem, then we presented a hemerographic analysis to describe and analyze the effects of four recent shocks in this subsystem. Two of these shocks were external: (i) the election of a new political elite in power that brought a clear discourse of denial of the relevance of environmental policy and (ii) calamitous environmental events that occurred in Brazil in 2019. The other two shocks were internal: (i) the capture of key positions and resources by dominant coalition members and (ii) the rise of conflict and polarization among the coalitions in the subsystem. The results showed: (i) the rise of a hyper-adversarial environmental policy subsystem; (ii) a realignment between non-dominant coalitions in a cooperative direction; (iii) the imposition of clear barriers to negotiation; (iv) changes in the use of scientific information by more politicized discourses with a high degree of bias. The article contributes to the understanding of the processes of institutional change in environmental policy, especially in contexts of large-scale change generated by increasing electoral polarization and fierce political disputes. It also contributes to the analysis of the limits and possibilities of the ACF in the Brazilian environmental agenda.",Multi-Theme
33,34,Contingent Coalitions in Environmental Policymaking: How Civil Society Organizations Influenced the Chilean Renewable Energy Boom,"This article analyzes the role of social movements and environmental organizations in crafting contingent coalitions to advance renewable energies in Chile. Until recently, Chile presented several conditions predicting the continuation of an arm's-length energy policy and a deregulated energy market heavily concentrated on environmentally and socially unfriendly sources. However, gradual but transformative policy change in the last decade has made the country a world leader in renewable energy development. Studying two key moments in energy policy reform, we argue that the contingency of the coalitions that social movements and environmental organizations forged was crucial to the advancement of renewable energy policy and the transformation of the energy sector in the country. The paper advances our understanding of policy change in contexts of high path dependency and status quo bias, and builds the concept of contingent coalitions, unifying similar but scattered and under-theorized notions that capture the fluid dynamics of coalition formation and policy change in environmental policymaking.",Energy Transition
34,35,Climate change policy networks: connecting adaptation and mitigation in multiplex networks in Peru,"Increasing attention is being given to integrating adaptation and mitigation in climate change policies. Policy network analysis is a way to explore connections between adaptation and mitigation, and the opportunities or barriers to effective integration between these two policy subdomains. This study explores climate governance and policy networks by examining collaboration and information flows in national policy processes in Peru, a country with an active climate change policy domain. In contrast to most climate policy network analyses, this study distinguishes adaptation and mitigation subdomains through a multiplex approach. We used ERGM (Exponential Random Graph Models) to explain the existence of information flows and collaborations among 76 key actors in climate change policy in Peru. We identified actors who could connect adaptation and mitigation subdomains. Results show a concentration of influence in national government actors, particularly in the mitigation subdomain, and the isolation of actor groups that matter for policy implementation, such as the private sector or subnational actors. Results highlight the predominance of mitigation over adaptation and the existence of actors well positioned to broker relationships between the subdomains. The top brokers across subdomains were, however, not only actors with high centrality and brokerage roles in the subdomains, but also several 'unusual key players' that were not brokers in any of the two layers separately. Key policy insights National government institutions are central actors in climate change policy networks in Peru, reflecting national ownership of the climate change issue. Private sector organizations and subnational actors in Peru are the least involved in information sharing and collaboration on climate change. Actors from different levels and sectors are active in both adaptation and mitigation, which is good for climate policy integration. Actors with the capacity to bridge the two policy subdomains are not necessarily central to each subdomain but may be actors that close structural holes between subdomains.",Climate Change
35,36,La formalización minera en el Bajo Cauca antioqueño a través de las áreas de reserva especial. Una aproximación al diseño institucional desde el marco de análisis y desarrollo institucional,"Gold rising prices at the dawn of the 21st Century have led to a gold rush in Colombia. However, most of the mining in the national territory is made without the minimum legal permits required. Informal gold mining is associated with multiple problems such as resource overuse, environmental externalities, illegal armed groups financing, among others. Thus, public policy as a discipline is called to promote adequate mechanisms for mining formalization. The article depicts an integral implementation of the Institutional Analysis and Development Framework (IAD) (universal interaction blocks, ADICO syntax, generic rule typology) in analysing, from an institutional design perspective, the context of the Special Reserves Areas in Antioquia’s Bajo Cauca. The analysis highlights the utility of the IAD framework for diagnosis and public policy design, and the difficulties that arise from the context and the legal arrangement in trying to use the Special Reserves Areas as an instrument for formalization in the Bajo Cauca.",Mining
36,37,La disputa por el territorio en el cambio en la Política de Ordenamiento Territorial de Manizales (2003-2017). Un estudio a partir del marco de análisis y desarrollo institucional,"As a result of the change in the norm for the land use in La Aurora, an adjacent area to the Río Blanco Forest Reserve, this study analyses the Territorial Planning Policy for the city of Manizales since 2003. Through a qualitative research methodology and based on the Institutional Analysis and Development Framework (IAD), the article establishes that even if constitutional rules determine the formulation of Land Use Plans (POT), these rules present a gap, in which local actors develop strategies to modify them. As a conclusion, the study states that, in this process, the participants develop incremental learning in which they manage to modify the rules, sometimes from a short-term perspective and favoring particular or reduced interests, and sometimes with a longer-term vision according to values and in benefit of nature and future generations. In each case, the capacity for collective action is decisive.",Forests and Land Use
37,38,Cognitive and Institutional Determinants of Public Policy Changes: A Comparative Analysis of Brazil and Chile,"This article aims to connect cognitive and institutional theories to explain how policies evolve. Because of the limits to the model proposed by cognitive theories, the article shows that this framework can be complemented with the model of institutional change proposed by historical institutionalism theories. Therefore, it centers on the dynamics of change beyond theories based on critical junctures or exogenous shocks, focusing on continuities rather than changes. The study is based on two policy change case studies-tax policy in Brazil, and environmental policies in Chile. We suggest a model that can explain gradual cognitive changes by proposing two different forms of policy change: ideational anchorage and cognitive layering.",Forests and Land Use
38,39,Access to the Brazilian agenda of the National Rural Water Supply and Sanitation Project (1985),"This article seeks to understand the circumstances that culminated in the formulation and implementation of the National Rural Water Supply and Sanitation Project (PNSR) in the 1980s, using the Multiple Streams Model as its theoretical reference. The results show that the theme’s ascension to the government agenda stemmed from a conjuncture marked by intense transitions that contributed to opening a policy window. The struggle to guarantee social rights in the Brazilian re-democratization process; the activities of social movements like the grassroots public health movement; the large sanitary deficit and its consequences for public health; the joint involvement of institutions with considerable expertise like Economic and Social Planning Institute (IPEA), Public Health Special Service Foundation (FSESP) and Pan-American Health Organization (PAHO) and the availability of financial resources stemming from a partnership arrangement with the International Bank for Reconstruction and Development (IBRD) provided a favorable environment for the elaboration of the PNSR.",Multi-Theme
39,40,Organizaciones de base e injusticia ambiental. La relevancia de las alianzas estratégicas para la incidencia en las políticas públicas. El caso de las políticas de residuos en la Región Metropolitana de Buenos Aires,"This article aims to answer the following question: why do grassroots organizations (GROS) have different incidence on public policies in spite of claiming for the same environmental justice problem? This inquiry arises concerning four cases with varied incidence on waste policies carried out by GROS that demand the closure of sanitary landfills in the same territory, the Metropolitan Region of Buenos Aires. The data collection techniques were in-depth interviews, documentary analysis and media analysis. The results highlight the incidence variation depends on the types of strategic alliances that GROS have in each case. The main contribution of this work is to deepen on the study of the grassroots organizations and its effects on public policies.",Forests and Land Use
40,41,Between the Global Commodity Boom and Subnational State Capacities: Payment for Environmental Services to Fight Deforestation in Argentina,"Does subnational state capacity stop deforestation? The commodity boom of the 2000s significantly expanded the agriculture frontier in most provinces of Argentina, with devastating effects on native forests. Interestingly, some of the subnational governments that presided over the commodities supercycle also sought to reform the forestry sector to reduce rampant deforestation, despite promoting and benefiting from agricultural expansion. A national program to protect native forests through payment for environmental services (PES) was created to be implemented in local districts. We argue that the success of new forest protections is contingent on the capacity of subnational governments to implement the law. In our study, we find that changes in provincial deforestation rates are explained by the interaction of state capacity, on one hand, and high land prices driven by commodity pressures, on the other. Our research carries implications for students and practitioners of forest PES. Our findings underscore the fundamental role subnational state governments play in climate change mitigation and adaptation.",Climate Change
41,42,Territorialities and Social Representations Superimposed on the Water vs. Gold Dichotomy: The Socio-Environmental Conflict over Industrial Mining in the Santurbán Moorland; [Territorialidades y representaciones sociales superpuestas en la dicotomía agua vs. oro: el conflicto socioambiental por minería industrial en el páramo de Santurbán*],"The Santurban moorland (Colombia) is a biogeographic space with mining, water, and biodiverse potential, which forms a framework of social, political, and economic disputes. This article analyzes the representations of water and gold, and the superposition of the territorialities of the different social groups (Santurban population, Bucaramanga population, foreign company, and State) in 2011 as an effect of the socio-environmental conflict over industrial mining in the moor. To do this, the researchers carried out an exercise in narrative interpretation of semi-structured interviews with residents and social groups in the municipalities of Vetas, California, and the city of Bucaramanga, who argue the importance of water and gold in their daily lives. The population of Santurbán conceives water as fundamental for its existence and the gold for its economy, traditions, and culture. Meanwhile, for the population of Bucaramanga, the representation of water is related to environmental ethics. This overlap triggers previously invisible conflicts between two neighboring populations that have jointly benefited from the moorland. © Jungseok Research Institute of International Logistics and Trade. All rights reserved.",Mining
42,43,“All That’s Left is Bare Land and Sky”: Palm Oil Culture and Socioenvironmental Impacts on a Tembé Indigenous Territory in the Brazilian Amazon,"The expansion of large-scale oil palm cultivation in the Amazon has exposed indigenous populations to changes around their lands and in their daily activities. Given the lack of studies on the impacts of oil palm on these populations, this study analyzed the socio-environmental impacts perceived by the Tembé, in Tomé-Açu, Pará State. With an interdisciplinary approach, between 2016 and 2017, semi-structured interviews and participant observation were conducted in five villages, inside and adjacent to the Turé-Mariquita Indigenous Land and complemented by remote sensing analyzes. This article describes the pressure vectors and the main socio-environmental impacts through the analysis of the indigenous narrative, and then these are discussed based on the scientific literature and remote sensing data. The findings indicate that the conversion of the surrounding territory to oil palm monoculture generated social and environmental changes that negatively affected the Tembé’s way of life and their capacity of socio-cultural reproduction. © 2020. All Rights Reserved.",Multi-Theme
43,44,Extraction and development: fossil fuel production narratives and counternarratives in Colombia,"Colombia, a country that is very vulnerable to climate change, has played a positive role in international climate negotiations. Paradoxically, Colombia is also the sixth largest coal exporter globally, and its government has adopted policies to further increase the country's production of coal and other fossil fuels. This article explores to what extent the national government reproduces a powerful paradigm - namely, that fossil fuel extraction is necessary for development - and how this resonates at the sub-national level. We find that the government's narrative has evolved to accommodate Colombia's changing national circumstances and public criticism. Though counternarratives exist, they have struggled to propose credible nationwide alternatives to extractive-based development, thus reinforcing the belief that extraction-based development is unavoidable. We describe how government narratives constitute an obstacle to both supply-side policies to restrict fossil fuel development and to transitional assistance policies to adjust to shifts in the global coal market. Key policy insights The view that fossil fuel extraction is necessary for development is a powerful barrier to supply - side climate policy. This view also hinders the formulation of transitional assistance policy. Empirical evidence that fossil fuel extraction seldom leads to equitable development is not enough to overcome this view. Narratives on fossil fuel-based development continuously adjust to prevailing economic development paradigms and contemporary development challenges.",Climate Change
44,45,To fight together against the government: Alliances and disputes in the implementation of a sustainable development plan; [Brigar junto contra o governo: Alianças e disputas na implantação de um plano de desenvolvimento sustentável],"This paper analyses how different social subjects, who are even hostile to each other, mobilized themselves in a highway blockade in the Southwest of Pará, Brazil. Through this specific manner of struggle against the government, they demanded changes in the delimitations of a rural settlement and a conservation unit created by the BR-163 Sustainable Plan, which has ""changed the rules"" of access to land and natural resources. Debating theoretical issues regarding ethics, sociability andsocial conflicts, we base ourselves on the narratives of rural workers, rural producers, gold prospectors, timber merchants and traders about their life stories and the protestin order to argue that they share values and reflect ethically on the relations of domination with the government and between themselves. Thus, we demonstrate that not only the flexibilization of environmental and land regulations are at stake, but also disputes concerning ways of governing natural resources, subjects, mobilizations and public policies. © 2019 ssociacao Nacional de Pos-Graduacao e Pesquisa em Ciencias Sociais - ANPOCS.; Este artigo analisa de que maneira sujeitos sociais heterogêneos, que possuem divergências ou hostilidade entre si, se mobilizaram conjuntamente para a realização de um bloqueio de rodovia no Sudoeste do Pará. Por meio dessa forma de briga contra o governo, demandaram a redelimitação de um assentamento e uma unidade de conservação criados pelo Plano BR-163 Sustentável, que ""mudou as regras"" de acesso à terra e recursos naturais. Em diálogo com questões teóricas sobre ética, sociabilidade e conflitos sociais e com base nas narrativas de trabalhadores rurais, produtores rurais, garimpeiros, madeireiros e comerciantes sobre suas histórias de vida e o protesto, argumentamos que compartilham valores e refletem eticamente sobre as relações de dominação com o governo e entre si. Com isso, demonstramos que está em jogo não só a flexibilização de regulamentações ambientais e fundiárias, mas disputas por modos de governar recursos naturais, sujeitos, mobilizações e políticas públicas. © 2019 ssociacao Nacional de Pos-Graduacao e Pesquisa em Ciencias Sociais - ANPOCS.",Multi-Theme
45,46,Advocacy coalitions and negotiation strategies in the revision of the forest code,"This study aims to analyze the advocacy coalitions (classified as 'environment' and 'agriculture') established during the revision of the Brazilian Forest Code and the main negotiation strategies used. Interviews, analysis of documents and newspaper' reports allowed capturing how the managers of the Ministries of Environment (MMA) and Agriculture, Livestock and Supply (Mapa) led these coalitions. Coalition analysis used the Advocacy Coalition Framework (ACF). Results showed both ministries used negotiation as their main strategy. The agriculture coalition invested in scientific information, while environment coalition carried out social mobilization.",Forests and Land Use
46,47,Bureaucratic Activism: Pursuing Environmentalism Inside the Brazilian State,"This study explores the evolution of the Green Grants program, run by Brazil's Ministry of Environment, as a means for developing the concept of bureaucratic activism. When the Workers' Party first took office in 2003, many social movement actors joined the government, especially in that agency. After 2007, however, most of these activists left the government. At the same time, the ministry substituted thousands of temporary employees for permanent civil servants. Surprisingly, this study finds that these public employees carried forward the environmentalist cause, even when this required contesting the priorities of superiors. Examining their attitudes and practices leads to a definition of activism as the proactive pursuit of opportunities to defend contentious causes. The case study helps to develop this concept and to demonstrate that workers inside bureaucracies can engage in activist behavior. It also explores the effects of bureaucratic activism on environmental policymaking in Brazil.",Energy Transition
47,48,South-South Transnational Advocacy: Mobilizing Against Brazilian Dams in the Peruvian Amazon,"South-South transnational advocacy networks (SSTANs) targeting emerging states, Southern companies, and their supporting institutions warrant nuanced distinctions from traditional transnational advocacy networks that are heavily reliant on Northern actors and targets, particularly in terms of the strategies and arguments they employ. This article analyzes the dynamics of SSTANs through the case of an environmental campaign against Brazilian hydropower projects proposed in the Peruvian Amazon. It demonstrates how Southern actors are mobilizing against new and emerging patterns of South-South cooperation, which, despite occurring on unfamiliar institutional terrain, reproduces familiar asymmetrical power relations and socioenvironmental burdens.",Forests and Land Use
48,49,"Seeds network and collective action for the restoration and conservation of Xingu River's springs (Mato Grosso, Brazil)","In 2017, indigenous and non-indigenous people from the Xingu-Araguaia region met in Mato Grosso to celebrate 10 years of partnership and collective action of the Xingu Seeds Network (XSN). This network originated from the Campaign `Y Ikatu Xingu, a social phenomenon concerning conservation and protection of the Xingu spring region. The river basin of the Xingu headwaters, 17 million hectares, is the main focus of XSN and it has lost five million hectares of forests and cerrados, which were converted into grain monoculture fields, within a very short period of time. The impact on the quality of the river water caused an environmental and health problem for the indigenous peoples of the indigenous lands. XSN has promoted innovative technological alternatives for recovery of permanent preservation areas (PPAs) or gallery forest and income generation for small farmers and local communities. The goal of this study is to analyze the environmental governance in the Xingu basin, paying particular attention to institutional arrangements of the Xingu Seeds Network. This analysis is grounded on the theoretical-methodological framework, contained in the Institutional Analysis and Development (IAD), which offers tools for understanding the strengthening process of democratic institutions in the protection of common-pool resources. These are permanent preservation areas, in Brazilian case. This study provides a reflection of governance mechanisms, based on the ""Commons Theory"", in regions where socioeconomic dynamics drastically modify the tropical ecosystems that are fundamental to wildlife and human life.",Forests and Land Use
49,50,Environmental perception of conservation unities: The look of the rural community of Barrocão surrounding the State Park of Serra do Conduru - BA [Percepção Ambiental de Unidades de Conservação: O Olhar da Comunidade Rural do Barrocão no Entorno do Parque Estadual da Serra do Conduru - BA],"The current relationship among humans and nature stablished by the capitalist society is characterized by the domination and degradation of natural environments. Thus, for environmental politics, Conservation Unities (UCs) of full protection guarantee the conservation of biodiversity, though there is still no recognition of the important role of local communities in the sustainable management of resources in the process of environmental management and biodiversity conservation. Therefore, the aim of this work was to comprehend the environmental perception of the rural community of Barrocão (Uruçuca-BA) located in the surroundings of the State Park of Serra do Conduru (PESC), identifying the type of relationship stablished between the community and PESC. The study is a qualitative-quantitative research, with phenomenology as its theoretical-methodological matrix. The data was collected using semi-structured interviews with 13 members of the community association Doces e Segredos da Floresta, starting from an itinerary elaborated following the methodological orientations of the environmental perception of Whyte (1977). The analysis showed a distancing between the management of the PESC and the local community, evidencing the absence of the participation of the residents in the processes of creation and management of the UC. Although they establish a conflict relationship with the unit, the residents recognize the park's function and consider it important in the conservation of the environment. © 2019 Centro Universitario de Anapolis. All rights reserved.",Biodiversity Conservation
50,51,From ‘Green Laggard’ to Regional Leader: Explaining the Recent Development of Environmental Policy in Chile,"Environmental policy in Chile has developed rapidly in recent years, and the country has become a regional leader in renewable energy, climate change policy, recycling, and nature conservation. This contrasts with the previous neglect of environmental issues in the country and its depiction as a ‘green laggard’ (Orihuela, 2014: 251) within Latin America. In this article the recent development of environmental policy in Chile is reviewed and five factors affecting this development are analysed: international influences, institutional legacies, a window of opportunity opened by environmental movements, policy entrepreneurship, and business power. © 2018 The Author. Bulletin of Latin American Research © 2018 Society for Latin American Studies. Published by John Wiley & Sons Ltd",Climate Change
51,52,From frontier governance to governance frontier: The political geography of Brazil's Amazon transition,"The ‘frontier’ is central to a new wave of development scholarship, but the broad deployment of the concept has blurred several key dimensions of frontier development. We focus on the Brazilian Amazon to synthesize classical frontier theory and emerging perspectives with special attention to the role of governance in frontier development. Since 2004, primary deforestation in the Brazilian Amazon has declined over 70 percent while agricultural production in the region has increased. Contrary to narratives that view this transition as the result of ‘frontier governance’ – i.e., the imposition of order on a pre-existing frontier – we propose the concept of a ‘governance frontier,’ which recognizes the role of politics in constructing and transforming frontier spaces. This concept politicizes economic accounts of frontier development and spatializes   notions of governance. We employ a ‘follow the policy’ methodology to trace the evolution of a governance frontier in the eastern Brazilian Amazon, drawing on original fieldwork across four Amazonian municipalities and inside an environmental non-governmental organization. We show that a key feature of the Amazonian governance frontier has been a distinct geographical configuration of ‘model municipalities’ that function as nodes of policy experimentation, legitimation, and transfer. Our findings support an integration of frontier theory and governance theory in a place-based, political geography approach to regional political-economic transformation, which demands greater attention to the political dimensions of frontiers and to the spatial dimensions of governance. © 2018 Elsevier Ltd",Forests and Land Use
52,53,"(Re)thinking (re)connection: Young people, “natures” and the water–energy–food nexus in São Paulo State, Brazil","This paper critically analyses pervasive contemporary discourses that call for children and young people to be “reconnected” with nature and natural resources. Simultaneously, it reflects on emerging forms of nexus thinking and policy that seek to identify and govern connections between diverse sectors, and especially water, energy and food. Both of these fields of scholarship are concerned with connections, of different kinds, and at different spatial scales. Based on a large-scale, mixed-method research project in São Paulo State, Brazil, this paper explores how these rather different literatures could be combined in order to (re)think notions of (re)connection that operate across different spatial, political and material registers. Through research with Brazilian professionals and young people about their experiences of, and learning about, the water–energy–food nexus, the paper makes several substantive contributions to scholarship on childhood, youth, environmental education and nexus thinking. Centrally, it is argued that, rather than dispense with them, there are manifold possibilities for expanding and complicating notions of (re)connection, which rely on a more nuanced analysis of the logistical, technical, social and political contexts in which nexuses are constituted. Thus, our work flips dominant forms of nexus thinking by privileging a “bottom-up” analysis of (especially) young people's everyday, embodied engagements with water, food and energy. Our resultant findings indicated that young people are “connected” with natures and with the water–energy–food nexus, in both fairly conventional ways and in ways that significantly extend beyond contemporary discourses about childhoods–natures (and particularly in articulating the importance of care and community). Consequently, the nexus approach that is advocated in this paper could enable more nuanced, politically aware conceptualisations of (re)connection, both within and beyond scholarship on childhoods–natures and nexus thinking. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2018 The Authors. Transactions of the Institute of British Geographers published by John Wiley & Sons Ltd on behalf of Royal Geographical Society (with The Institute of British Geographers).",Multi-Theme
53,54,"Wind power on the Brazilian Northeast Coast, from the Whiff of Hope to Turbulent Convergence: The case of the Galinhos Wind Farms","The convergent narrative which proposes an energy transition, aiming to replace fossil fuels with renewable energies, has in wind power technology a viable option that can consolidate this view. Brazil produced 14.8 GW of wind powered energy in 2019, 85.7% of this total in the Northeastern region. Social and environmental fragilities of local communities, overlooked an exclusionary planning, have led to opposition movements against wind farm implementation. This study aims to assess how the arrival of wind power dialogues with the demands of the communities living in the projects' vicinities, as well as repercussions on institutional, socio-economic and environmental developments. A case study was conducted with regard to the Galinhos' community reaction to the arrival of wind power. First, public domain narratives were evaluated, in order to ascertain the different perceptions from the social actors involved in the process. Next, the community's vision was assessed regarding expectations and fears, created by the existence of the wind farm, before and after its implementation. The perception was that the wind farm did not change the population's socioeconomic conditions and environmental issues require appraisals by the accountable bodies. In this scenario, the materiality of the narrative that justifies wind farm expansion in the Brazilian northeast was assessed. © 2019 by the authors.",Energy Transition
54,55,"Power, identity and biodiversity conservation in the Montes Azules Biosphere Reserve, Chiapas, Mexico","In this article, I analyze how daily conservation discourse and practices create and recreate local identities through the reconfiguration of social relationships brought about by conservation encounters. The mobilization of identity has been a main strategy of the inhabitants of the Lacandon Community Zone and the Montes Azules Biosphere Reserve for maintaining their access to natural resources and benefitting from conservation. In the Lacandon Rainforest, conservation comes at great cost to the local population but, at the same time, offers an opportunity to access monetary and political resources. Because of this tension, the peasants build complex and fractured identities, in an iterative process, assuming different images as they struggle to reconcile their personal desires with the external plan to preserve the forest. Identity in the Lacandon Rainforest, as in other regions impacted by this practice, is a tool in the political struggle. © 2020, University of Arizona Libraries.",Forests and Land Use
55,56,"Street-Level Bureaucrats: experiences and perceptions of inspectors in monitoring environmental policy regulations in natural resources in Guanajuato, Mexico, 2015- from 2015 to 2018","Natural resources legislation is part of Mexican environmental policy. Monitoring compliance with legislation contributes to the management and conservation of resources and that offenders compensate for the damages generated. Inspection is a method used by the authorities to monitor compliance and achievement of objectives. In the country there is the Federal Attorney for Environmental Protection to monitor compliance with the law. Environmental inspectors are also called Street-level bureaucrats or 'frontline workers, who are in charge of performing inspection tasks in the field, but they are poorly studied. The present study, through interviews, addresses the experiences and perceptions of the bureaucrats at street-level of the Guanajuato Delegation Federal Attorney 19 within the framework of the application of natural resources legislation. Knowing the experiences and perceptions provides information on how the implementation actions of the environmental policy in the field actually happen. The findings show the existence of legal, territorial and material factors that limit the proper application of natural resources legislation.",Forests and Land Use
56,57,How Do States Benefit from Nonstate Governance? Evidence from Forest Sustainability Certification,"Forest sustainability certification is emblematic of governance mechanisms associated with neoliberal state reforms. Despite being conceived as a means of compensating for the unwillingness or inability of states to regulate forest practices, in practice, forest certification has come to entail complex and hybrid relationships between private-sector, civil society, and government actors. Indeed, states have increasingly embraced certification as a means of complementing or even supplanting traditional forms of governmental regulation of the forest sector. Yet processes of neoliberalization imply both an expansion of opportunities for hybrid governance and a weakening of the state capacity that is often needed for successful implementation of certification initiatives. We analyze the complex relationships between neoliberalization, state capacity, and certification through two contrasting cases in Wisconsin, United States, and Entre Rios, Argentina. Our findings illustrate the tensions within broadly neoliberal and postneoliberal regimes and highlight the persistence of long-standing patterns of state-led environmental governance.",Multi-Theme
57,58,La opinión experta evalúa la política ambiental mexicana: Hacia la gestión de socioecosistemas,"Public policies formulated to confront the ecological and social equity crises of development have had little impact. Recently, several disciplines have converged on the socioecosystem (SES) concept as an ideal theoretical framework for managing integrated social and natural systems for their sustainable development, and its rapid incorporation into environmental public policy is sought. A consultation was undertaken to gauge the expert opinion of Mexico’s federal environment sector officials with regard to the SES approach and its potential as a new basis for public policy. The results demonstrate that although the experts are unfamiliar with the SES approach, they value the policy attributes which characterize it, indicating that if these were fully incorporated into current policies, they could help correct their deficiencies. A majority of experts consider the more integral SES approach offers advantages, and it is concluded that these key actors are receptive to the approach and its possible adoption.",Forests and Land Use
58,59,"Los impactos ambientales de las políticas públicas en los manglares de Chiapas, México: Una consecuencia de la falta de integración de la política ambiental","Based on the concept of environmental policy integration, qualitative expert interview and participative mapping, this paper focuses on the causes and consequences of environmental impacts on mangroves triggered by ill-coordinated public policies at México’s southern Pacific coast. In this context, we identified not only the specific measures applied by governmental institutions and their impacts, but also other crucial political, socioeconomic, and environmental factors, which determined the scale and spatial extension of ecosystem degradation. As a result, public policies lacking environmental integration, particularly stream straightening and incentives to promote the production of biofuel made form African oil palms, were the decisive triggers, but not the sole agents of mangroves’ degradation. The scale and spatial extension of observed impacts rather depend on multiply factors, not necessarily related to public policies. Moreover, an explicitly spatial dimension to the qualitative results is provided.",Multi-Theme
59,60,Challenges for sustainable development in Brazilian Amazonia,"Most economic initiatives and infrastructure projects in Brazilian Amazonia have social benefits that are small and ephemeral, while their socioenvironmental impacts are severe. More sustainable forms of development are inhibited by barriers such as a decision-making system with heavy influence (including corruption) from actors with interests in nonsustainable activities. These interests have driven a recent surge of legislative threats to environmental licensing. Better alternatives exist for many destructive forms of “development” projects. Examples include transport using rivers (rather than building highways) and electricity generation from Brazil's vast solar and wind resources (rather than hydroelectric dams). Traditional rural populations could receive support from programs that tap the value of the Amazon forest's environmental services, but institutional mechanisms are in their infancy, among challenges that include differing political interests of countries providing environmental services and those that might pay for them, lack of data and a “theoretical battlefield” regarding accounting for benefits. Copyright © 2018 John Wiley & Sons, Ltd and ERP Environment",Forests and Land Use
60,61,"Analysis of institutional dysfunctionality of environmental public policy programs in Mexico city, 2000-2012 [Análisis de disfuncionalidad institucional de programas de política pública ambiental en la Ciudad de México, 2000-2012]","The present work analyzes the operation rules of eight environmental public policy programs applied in the conservation land of Mexico City in order to demonstrate the contradictions that they present, and thus to verify that there is institutional dysfunctionality, which can lead to potential environmental impact. The analytical framework is institutional analysis and development, and methodologically, IT uses three stages: a) revision of the operation rules, b) the presentation of analysis criteria with assigned ranges, and c) the construction of multidimensional graphs; showing the index of institutional dysfunctionality in a horizontal and vertical way.",Forests and Land Use
61,62,Institutions and environmental governance: The case of environmental permitting for offshore oil and gas projects,"This work is an effort to link institutions and environmental governance, focusing on the Brazilian offshore oil and gas sector. A case study detailing the experience of an environmental unit of Brazil`s federal environmental agency (Coordenação Geral de Petróleo e Gás, Diretoria de Licenciamento, Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - CGPEG/DILIC/IBAMA) is used for this purpose. This unit is in charge of handling environmental permits for projects in this area. The methodology follows the institutional analysis and development framework as described by Ostrom (2011). Results reveal an environmental governance system characterized by the lack of policies that complement the issuing of environmental permits. In addition, we describe the institutional environment at CGPEG, demonstrating the existence of trust among its personnel. Finally, our conclusions indicate the importance of ensuring the permanence of the public staff, as well as the need to structure strategic governance systems.",Energy Transition
62,63,Water Governance and Emerging Challenges for Rigid Normative and Institutional Structures: an Analysis from the Chilean Case,"In recent years there has been a decrease in water availability mainly associated to climate change and a strong increase in the demand for this resource. As a consequence, the water sector is facing increasing pressures at the social, economic, environmental and political levels. This new scenario generates high levels of uncertainty that increase tensions over the access to water. The diverse valuations and uses given by the multiple stake-holders interested in this resource make traditional management and governance models based on the theory ofcommand and control inadequate. This paper theoretically analyzes different conceptions and models of water governance, their characteristics, levels and scales of operation, identifying potentials and limitations to face complex and dynamic contexts. At the empirical level the Chilean case is explored since there is a water market for this resource allocation. To develop the analytical framework on the concept of water governance, a compilation and selection (directed review of literature) of recent research on the subject was carried out by consulting scientific articles published in internationally recognized journals and with high impact in the area of social sciences, interdisciplinary and water resources. The results show that a rigid, centralized system with legislation that prioritizes private interests before public interests causes inequity in access to water and needs a change in its structure that allow it to face the new conditions of dynamic and complex systems. On the other hand, the concept of water governance must be addressed as a socio-ecological system and it is not pertinent to analyze the water system in isolation. The model of adaptive governance emerges as the most propitious to face changing conditions, although its implementation presents several challenges. Finally, some initiatives are shown at a local scale that are emerging in Chile and that stand out as an advance in the transition from a traditional governance model to an adaptive one.",Climate Change
