id,busca,authors,authors full name,empirico,pp ambiental policy process,theoretical framework,pergunta de pesquisa,inferencia causal,desenho pesquisa,met,ciclo,tema,tematica geral,tematica especifica,metodologia adotada,local_backup,local_afiliacao,local_pesquisado,afiliacao,departamento,titulo do artigo,titulo da fonte,idioma,tipo do documento,authors keywords,keywords plus,abstract,enderecos,Reprint Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,cited reference count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,Publication Year,Volume,Issue,Start Page,End Page,DOI,DOI Link,WoS Categories,Web of Science Index,Research Areas,Web of Science Record
44,,"Strambo, C; Espinosa, ACG","Strambo, Claudia; Gonzalez Espinosa, Ana Carolina",1,1,NPF,1,1,1,2,2,7,,,,Colômbia,Suécia,Colômbia,Stockholm Environment Institute; University Externado Colombia,,Extraction and development: fossil fuel production narratives and counternarratives in Colombia,CLIMATE POLICY,English,Article,Colombia; coal; extractivism; transition; narratives,LABOR ENVIRONMENTALISM; CLIMATE POLICY; TRANSITIONS; RESISTANCE; INDUSTRIES; POLITICS; POWER,"Colombia, a country that is very vulnerable to climate change, has played a positive role in international climate negotiations. Paradoxically, Colombia is also the sixth largest coal exporter globally, and its government has adopted policies to further increase the country's production of coal and other fossil fuels. This article explores to what extent the national government reproduces a powerful paradigm - namely, that fossil fuel extraction is necessary for development - and how this resonates at the sub-national level. We find that the government's narrative has evolved to accommodate Colombia's changing national circumstances and public criticism. Though counternarratives exist, they have struggled to propose credible nationwide alternatives to extractive-based development, thus reinforcing the belief that extraction-based development is unavoidable. We describe how government narratives constitute an obstacle to both supply-side policies to restrict fossil fuel development and to transitional assistance policies to adjust to shifts in the global coal market. Key policy insights The view that fossil fuel extraction is necessary for development is a powerful barrier to supply - side climate policy. This view also hinders the formulation of transitional assistance policy. Empirical evidence that fossil fuel extraction seldom leads to equitable development is not enough to overcome this view. Narratives on fossil fuel-based development continuously adjust to prevailing economic development paradigms and contemporary development challenges.","[Strambo, Claudia] Stockholm Environm Inst, Stockholm, Sweden; [Gonzalez Espinosa, Ana Carolina] Univ Externado Colombia, Bogota, Colombia","Strambo, C (corresponding author), Stockholm Environm Inst, Stockholm, Sweden.",,"Strambo, Claudia/0000-0003-3673-5853",Swedish International Development Cooperation Agency (Sida),Swedish International Development Cooperation Agency (Sida)(Norwegian Agency for Development Cooperation - NORAD),This study was funded by the Swedish International Development Cooperation Agency (Sida) through core support to the Stockholm Environment Institute. The authors would like to thank Dr. Georgia Piggot for her valuable comments and suggestions during the manuscript preparation.,159,19,20,0,12,TAYLOR & FRANCIS LTD,ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",1469-3062,1752-7457,2.020,20,8,931,948,10.1080/14693062.2020.1719810,http://dx.doi.org/10.1080/14693062.2020.1719810,Environmental Studies; Public Administration,Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Public Administration,Web of Science Record
46,"""environment*"" AND ""advocacy coalition"" (All Fields) OR ""environment*"" AND ""institutional analysis"" (All Fields) OR ""environment*"" AND ""Equilibrium"" (All Fields) OR ""environment*"" AND ""multiple streams"" (All Fields) OR ""environment*"" AND ""narrative"" (All Fields) and 6.27 Political Science (Citation Topics Meso) and BRAZIL or CHILE or ARGENTINA or ECUADOR or PERU (Countries/Regions)","de Medeiros, Estela Alves; Gomes, Ricardo Correa",,1,1,ACF,1,0,1,2,5,5,formação de coalizões e o meio ambiente,estratégias utilizadas pelas coalizões de meio ambiente e agricultura durante a revisão do código florestal para ter os seus os seus interesses atendidos,,Brasil,Brasil,Brasil,Ministério da Economia,,Advocacy coalitions and negotiation strategies in the revision of the forest code,Revista de Administração Pública,English,Article,Forest Code; stakeholders; advocacy coalitions,,"This study aims to analyze the advocacy coalitions (classified as 'environment' and 'agriculture') established during the revision of the Brazilian Forest Code and the main negotiation strategies used. Interviews, analysis of documents and newspaper' reports allowed capturing how the managers of the Ministries of Environment (MMA) and Agriculture, Livestock and Supply (Mapa) led these coalitions. Coalition analysis used the Advocacy Coalition Framework (ACF). Results showed both ministries used negotiation as their main strategy. The agriculture coalition invested in scientific information, while environment coalition carried out social mobilization.","[de Medeiros, Estela Alves] Minist Econ, Brasilia, DF, Brazil; [Gomes, Ricardo Correa] Univ Brasilia, Programa Posgrad Adm, Brasilia, DF, Brazil",estelaamedeiros@gmail.com; rgomes@unb.br,"Gomes, Ricardo/V-4450-2019","Gomes, Ricardo/0000-0002-4164-5986",,,,15,2,4,1,3,"FUNDACAO GETULIO VARGAS, EDITORA",RIO DE JANEIRO RJ,"PRAIA BOTAFOGO-190, SAIA 538 5 ANDAR, RIO DE JANEIRO RJ, 22250-900, BRAZIL",0034-7612,1982-3134,2.019,53,1,1,22,,10.1590/0034-7612173987,Public Administration,Emerging Sources Citation Index (ESCI),WOS:000561886400001,View Full Record in Web of Science
47,environmental politics ou política ambiental,"Abers, RN","Abers, Rebecca Neaera",1,1,ACF,1,0,1,2,2,9,Políticas Púbicas e atores estatais,Dinâmica da política ambiental chilena no Congresso do país sob o governo do presidente Lagos,,Chile,Chile,Brasil,Universidad Católica de Chile,Instituto Ciência Política ,Bureaucratic Activism: Pursuing Environmentalism Inside the Brazilian State,LATIN AMERICAN POLITICS AND SOCIETY,English,Article,environmentalism; environmental policy; bureaucracy; activism; cash transfers; agency,ADVOCACY COALITION FRAMEWORK; REPRESENTATIVE BUREAUCRACY; PUBLIC PROFESSIONALS; POLICY CHANGE; COMMUNITIES,"This study explores the evolution of the Green Grants program, run by Brazil's Ministry of Environment, as a means for developing the concept of bureaucratic activism. When the Workers' Party first took office in 2003, many social movement actors joined the government, especially in that agency. After 2007, however, most of these activists left the government. At the same time, the ministry substituted thousands of temporary employees for permanent civil servants. Surprisingly, this study finds that these public employees carried forward the environmentalist cause, even when this required contesting the priorities of superiors. Examining their attitudes and practices leads to a definition of activism as the proactive pursuit of opportunities to defend contentious causes. The case study helps to develop this concept and to demonstrate that workers inside bureaucracies can engage in activist behavior. It also explores the effects of bureaucratic activism on environmental policymaking in Brazil.","[Abers, Rebecca Neaera] Univ Brasilia, Inst Ciencia Polit, Polit Sci, Brasilia, DF, Brazil","Abers, RN (autor correspondente), Univ Brasilia, Inst Ciencia Polit, Polit Sci, Brasilia, DF, Brazil.",,"Abers, Rebecca/0000-0002-4816-9345",Escola Nacional de Administracao Publica (ENAP),Escola Nacional de Administracao Publica (ENAP),"The author would like to thank the Escola Nacional de Administracao Publica (ENAP) for its support in the initial stages of research for this article, and the participants in that study and many others who have commented on various versions of this evolving work. Special thanks to the anonymous reviewers for LAPS, as well as Debora Rezende, Gabriella Lotta, Jessica Rich, Lindsay Mayka, Marcelo Kunrath Silva, Marisa von Bulow, Roberto Pires, and the brilliant graduate students who participate in the Institutional Activism group at RESOCIE/IPOL/UnB.",73,27,37,1,10,CAMBRIDGE UNIV PRESS,NEW YORK,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",1531-426X,1548-2456,2.019,61,2,21,44,10.1017/lap.2018.75,http://dx.doi.org/10.1017/lap.2018.75,Area Studies; International Relations; Political Science,Social Science Citation Index (SSCI),Area Studies; International Relations; Government & Law,View Full Record in Web of Science
48,environmental politics ou política ambiental,"Moreira, PF; Gamu, JK; Inoue, CYA; Athayde, S; Seixas, SRD; Viola, E","Moreira, Paula Franco; Gamu, Jonathan Kishen; Aoki Inoue, Cristina Yumie; Athayde, Simone; da Cal Seixas, Sonia Regina; Viola, Eduardo",1,1,ACF,0,0,1,2,1,9,,como os atores do Sul estão se mobilizando contra padrões novos e emergentes de cooperação Sul-Sul que reproduz relações de poder assimétricas e encargos socioambientais familiares,,Brasil,Brasil,Brasil; Peru,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH,,South-South Transnational Advocacy: Mobilizing Against Brazilian Dams in the Peruvian Amazon,GLOBAL ENVIRONMENTAL POLITICS,English,Article,,GOVERNANCE; NETWORKS; RISE,"South-South transnational advocacy networks (SSTANs) targeting emerging states, Southern companies, and their supporting institutions warrant nuanced distinctions from traditional transnational advocacy networks that are heavily reliant on Northern actors and targets, particularly in terms of the strategies and arguments they employ. This article analyzes the dynamics of SSTANs through the case of an environmental campaign against Brazilian hydropower projects proposed in the Peruvian Amazon. It demonstrates how Southern actors are mobilizing against new and emerging patterns of South-South cooperation, which, despite occurring on unfamiliar institutional terrain, reproduces familiar asymmetrical power relations and socioenvironmental burdens.","[Moreira, Paula Franco] Deutsch Gesell Int Zusammenarbeit GmbH GIZ, Cooperat Brazils Minist Environm, Bonn, Germany; [Moreira, Paula Franco; Athayde, Simone] Amazon Dams Network, Bonn, Germany; [Gamu, Jonathan Kishen] Univ Sheffield, Int Polit, Sheffield, S Yorkshire, England; [Aoki Inoue, Cristina Yumie] Univ Brasilia, Inst Int Relat, Brasilia, DF, Brazil; [Aoki Inoue, Cristina Yumie] Int Studies Assoc, Act Learning Int Affairs Sect, Storrs, CT USA; [Aoki Inoue, Cristina Yumie] Earth Syst Governance ESG Res Network, Sci Steering Comm, Lund, Sweden; [Athayde, Simone] Univ Florida, Ctr Latin Amer Studies, Gainesville, FL 32611 USA; [Athayde, Simone] Univ Florida, Ctr Latin Amer Studies, Trop Conservat & Dev Program, Gainesville, FL 32611 USA; [da Cal Seixas, Sonia Regina] Univ Campinas UNICAMP, Environm Studies & Res Ctr NEPAM, Environm & Soc, Campinas, SP, Brazil; [da Cal Seixas, Sonia Regina] Univ Campinas UNICAMP, Postgrad Program Energy Syst Planning, Campinas, SP, Brazil; [da Cal Seixas, Sonia Regina] Univ Reading, Reading, Berks, England; [da Cal Seixas, Sonia Regina] Brazils Natl Council Sci & Technol Dev CNPq, Brasilia, DF, Brazil; [Viola, Eduardo] Univ Brasilia, Int Relat, Brasilia, DF, Brazil; [Viola, Eduardo] Brazilian Council Sci & Technol Dev, Brasilia, DF, Brazil; [Viola, Eduardo] Univ Stanford, Stanford, CA USA; [Viola, Eduardo] Univ Colorado, Boulder, CO 80309 USA; [Viola, Eduardo] Univ Notre Dame, Notre Dame, IN 46556 USA; [Viola, Eduardo] Univ Amsterdam, Amsterdam, Netherlands","Moreira, PF (autor correspondente), Deutsch Gesell Int Zusammenarbeit GmbH GIZ, Cooperat Brazils Minist Environm, Bonn, Germany.;Moreira, PF (autor correspondente), Amazon Dams Network, Bonn, Germany.","Viola, Eduardo/J-3623-2014; Inoue, Cristina/U-1682-2019; Athayde, Simone/M-1426-2016","Viola, Eduardo/0000-0002-5028-2443; Inoue, Cristina/0000-0003-3696-252X; Athayde, Simone/0000-0002-3820-6595; MOREIRA, Paula/0000-0002-2271-3664",Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior; Science Without Borders/PVE Project [88881.064958/2014-01]; National Science Foundation [1617413]; Amazon Dams Network/Rede Barragens Amazonicas,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior(Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior (CAPES)); Science Without Borders/PVE Project; National Science Foundation(National Science Foundation (NSF)); Amazon Dams Network/Rede Barragens Amazonicas,"We would like to thank the three anonymous reviewers and GEP editors for their helpful feedback. We would also like to express our sincerest gratitude to GEP managing editor Susan Altman for the support provided during the review process. Many thanks are also due to Ruth Buendia Mestoquiari, Brent Millikan, Antonio Zambrano Allende, Fabian Simeon, Vanessa Cueto, and Cesar Gamboa. Institutional support for this research was provided by the University of Campinas and the Institute for International Relations at the University of Brasilia, Brazil. Funding was provided the Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior; the Science Without Borders/PVE Project (process 88881.064958/2014-01); and the National Science Foundation (grant 1617413). Finally, we acknowledge the support provided by the Amazon Dams Network/Rede Barragens Amazonicas. Any opinions, findings, and conclusions expressed in this material are those of the authors and do not necessarily reflect the views of the National Science Foundation.",43,6,6,2,9,MIT PRESS,CAMBRIDGE,"ONE ROGERS ST, CAMBRIDGE, MA 02142-1209 USA",1526-3800,1536-0091,2.019,19,1,77,98,10.1162/glep_a_00495,http://dx.doi.org/10.1162/glep_a_00495,Environmental Studies; International Relations; Political Science,Social Science Citation Index (SSCI),Environmental Sciences & Ecology; International Relations; Government & Law,View Full Record in Web of Science
49,"environment* AND ""institutional analysis*""","Sanches, R.A.; Futemma, C.R.T.",6701595637;7801361840;,1,1,IAD,1,1,1,3,4,2,Governança ambiental na Bacia do Xingu,"Quer observar toda a governança ambiental que ocorre na bacia do Xingu, em especial  estrutura institucional da Rede de Sementes",,Brasil,Brasil,Brasil,Universidade de São Paulo,,"Seeds network and collective action for the restoration and conservation of Xingu River's springs (Mato Grosso, Brazil)",Desenvolvimento e Meio Ambiente,English,,Xingu River; environmental governance; restoration of permanent preservation areas; collective action,,"In 2017, indigenous and non-indigenous people from the Xingu-Araguaia region met in Mato Grosso to celebrate 10 years of partnership and collective action of the Xingu Seeds Network (XSN). This network originated from the Campaign `Y Ikatu Xingu, a social phenomenon concerning conservation and protection of the Xingu spring region. The river basin of the Xingu headwaters, 17 million hectares, is the main focus of XSN and it has lost five million hectares of forests and cerrados, which were converted into grain monoculture fields, within a very short period of time. The impact on the quality of the river water caused an environmental and health problem for the indigenous peoples of the indigenous lands. XSN has promoted innovative technological alternatives for recovery of permanent preservation areas (PPAs) or gallery forest and income generation for small farmers and local communities. The goal of this study is to analyze the environmental governance in the Xingu basin, paying particular attention to institutional arrangements of the Xingu Seeds Network. This analysis is grounded on the theoretical-methodological framework, contained in the Institutional Analysis and Development (IAD), which offers tools for understanding the strengthening process of democratic institutions in the protection of common-pool resources. These are permanent preservation areas, in Brazilian case. This study provides a reflection of governance mechanisms, based on the ""Commons Theory"", in regions where socioeconomic dynamics drastically modify the tropical ecosystems that are fundamental to wildlife and human life.",Review,,,,,,,,6,,,,,,,,,2.019,50,,127,150,10.5380/dma.v50i0.59435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071116343&doi=10.5380%2fdma.v50i0.59435&partnerID=40&md5=753e32a8631a622a283e5b8e74e58d25,,,,Scopus
51,environmental politics ou política ambiental,Madariaga A.,,1,1,MSF,0,1,2,2,1,9,Desenvolvimento ambiental chileno e processos de políticas públicas,"Desenvolvimento da política chilena por fatores de influências internacionais, legados institucionais, janela de oportunidade aberta por movimentos ambientalistas, empreendedorismo político e poder empresarial.",,Chile,Chile,Chile,Universidade Mayor - Chile,,From ‘Green Laggard’ to Regional Leader: Explaining the Recent Development of Environmental Policy in Chile,Bulletin of Latin American Research,English,Article,Chile; environmental policy; environmental politics; public policy,alternative energy; environmental policy; environmental politics; nature conservation; policy analysis; policy approach; policy development; recycling; Chile,"Environmental policy in Chile has developed rapidly in recent years, and the country has become a regional leader in renewable energy, climate change policy, recycling, and nature conservation. This contrasts with the previous neglect of environmental issues in the country and its depiction as a ‘green laggard’ (Orihuela, 2014: 251) within Latin America. In this article the recent development of environmental policy in Chile is reviewed and five factors affecting this development are analysed: international influences, institutional legacies, a window of opportunity opened by environmental movements, policy entrepreneurship, and business power. © 2018 The Author. Bulletin of Latin American Research © 2018 Society for Latin American Studies. Published by John Wiley & Sons Ltd",,,57199391740;,,CONICYT/FONDAP/15130009,"The author thanks K. Sehnbruch, and participants at the LASA 2017 Congress for helpful comments and suggestions. This article received research support from the Centre for Social Conflict and Cohesion Studies (CONICYT/FONDAP/15130009).",,,7,,,,,,,,,2.019,38,4,453,470,10.1111/blar.12841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052622386&doi=10.1111%2fblar.12841&partnerID=40&md5=6df8ac6da1ec467c2eb72687f1d7b49e,,,,Scopus
52,environmental politics ou política ambiental,Thaler G.M.; Viana C.; Toni F.,,1,1,NPF,1,1,2,2,2,5,O conceito de fronteira e as mudanças de desenvolvimento ambiental dentro de um local ,trata do desenvolvimento e da mudança do conceito de fronteira olhando para a governança ambiental na Amazonia e as mudanças que tem ocorrido no local,,Brasil,Estados Unidos,Brasil,University of Georgia,Department of International Affairs,From frontier governance to governance frontier: The political geography of Brazil's Amazon transition,World Development,English,Article,Agricultural intensification; Amazon; Brazil; Deforestation; Frontier; Governance,agricultural intensification; deforestation; environmental policy; environmental politics; governance approach; nongovernmental organization; political geography; Amazonia; Brazil,"The ‘frontier’ is central to a new wave of development scholarship, but the broad deployment of the concept has blurred several key dimensions of frontier development. We focus on the Brazilian Amazon to synthesize classical frontier theory and emerging perspectives with special attention to the role of governance in frontier development. Since 2004, primary deforestation in the Brazilian Amazon has declined over 70 percent while agricultural production in the region has increased. Contrary to narratives that view this transition as the result of ‘frontier governance’ – i.e., the imposition of order on a pre-existing frontier – we propose the concept of a ‘governance frontier,’ which recognizes the role of politics in constructing and transforming frontier spaces. This concept politicizes economic accounts of frontier development and spatializes   notions of governance. We employ a ‘follow the policy’ methodology to trace the evolution of a governance frontier in the eastern Brazilian Amazon, drawing on original fieldwork across four Amazonian municipalities and inside an environmental non-governmental organization. We show that a key feature of the Amazonian governance frontier has been a distinct geographical configuration of ‘model municipalities’ that function as nodes of policy experimentation, legitimation, and transfer. Our findings support an integration of frontier theory and governance theory in a place-based, political geography approach to regional political-economic transformation, which demands greater attention to the political dimensions of frontiers and to the spatial dimensions of governance. © 2018 Elsevier Ltd",,,57191152567;55657551700;8441901600;,,"National Science Foundation, NSF: DGE-1144153; National Stroke Foundation, NSF","We are deeply grateful to the inhabitants of Santarém, Lucas, Paragominas, and São Félix, and the staff of TNC-Brazil. We thank the anonymous reviewers for their helpful comments. Thaler was supported by a US National Science Foundation Graduate Research Fellowship [grant number DGE-1144153 ].","We are deeply grateful to the inhabitants of Santarém, Lucas, Paragominas, and São Félix, and the staff of TNC-Brazil. We thank the anonymous reviewers for their helpful comments. Thaler was supported by a US National Science Foundation Graduate Research Fellowship [grant number DGE-1144153].",,34,,,,,,,,,2.019,114,,59,72,10.1016/j.worlddev.2018.09.022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054412388&doi=10.1016%2fj.worlddev.2018.09.022&partnerID=40&md5=4b06dca07a16fe92a9da9a7af7584616,,,,Scopus
53,environmental politics ou política ambiental,Kraftl P.; Balastieri J.A.P.; Campos A.E.M.; Coles B.; Hadfield-Hill S.; Horton J.; Soares P.V.; Vilanova M.R.N.; Walker C.; Zara C.,,1,1,NPF,1,1,1,3,2,9,,Analise de discursos que pedem a conexção de crianças e jovens com a natureza e os recursos naturais - diferentes perspectivas da iteratura sobre a (re)conexão com a natureza,,Brasil,Inglaterra,Brasil,Universidade de Birmingham,"School of Geography, Earth and Environmental Sciences","(Re)thinking (re)connection: Young people, “natures” and the water–energy–food nexus in São Paulo State, Brazil",Transactions of the Institute of British Geographers,English,Article,care; children's geographies; environmental education; nature; politics; youth geographies,bottom-up approach; child care; environmental education; environmental politics; nature conservation; young population; Brazil; Sao Paulo [Brazil]; Sao Paulo [Sao Paulo (STT)],"This paper critically analyses pervasive contemporary discourses that call for children and young people to be “reconnected” with nature and natural resources. Simultaneously, it reflects on emerging forms of nexus thinking and policy that seek to identify and govern connections between diverse sectors, and especially water, energy and food. Both of these fields of scholarship are concerned with connections, of different kinds, and at different spatial scales. Based on a large-scale, mixed-method research project in São Paulo State, Brazil, this paper explores how these rather different literatures could be combined in order to (re)think notions of (re)connection that operate across different spatial, political and material registers. Through research with Brazilian professionals and young people about their experiences of, and learning about, the water–energy–food nexus, the paper makes several substantive contributions to scholarship on childhood, youth, environmental education and nexus thinking. Centrally, it is argued that, rather than dispense with them, there are manifold possibilities for expanding and complicating notions of (re)connection, which rely on a more nuanced analysis of the logistical, technical, social and political contexts in which nexuses are constituted. Thus, our work flips dominant forms of nexus thinking by privileging a “bottom-up” analysis of (especially) young people's everyday, embodied engagements with water, food and energy. Our resultant findings indicated that young people are “connected” with natures and with the water–energy–food nexus, in both fairly conventional ways and in ways that significantly extend beyond contemporary discourses about childhoods–natures (and particularly in articulating the importance of care and community). Consequently, the nexus approach that is advocated in this paper could enable more nuanced, politically aware conceptualisations of (re)connection, both within and beyond scholarship on childhoods–natures and nexus thinking. The information, practices and views in this article are those of the author(s) and do not necessarily reflect the opinion of the Royal Geographical Society (with IBG). © 2018 The Authors. Transactions of the Institute of British Geographers published by John Wiley & Sons Ltd on behalf of Royal Geographical Society (with The Institute of British Geographers).",,,15063072500;6602818789;57204580258;55991096000;55587718700;23992227500;57189084860;55845381600;57192157262;56556333800;,,"Economic and Social Research Council, ESRC: ES/K00932X/1; Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP: 15/50226-0","São Paulo Research Foundation, Grant/ Award Number: 15/50226-0; The Economic & Social Research Council, Grant/Award Number: ES/K00932X/1","The authors gratefully acknowledge the financial support of the São Paulo Research Foundation (FAPESP process 15/ 50226‐0), and the Economic & Social Research Council (ESRC grant reference: ES/K00932X/1). We would also like to thank the young people and professionals who gave so much of their time, energy and expertise to taking part in our research. Finally, we would like to thank the referees for their generous and constructive comments.",,29,,,,,,,,,2.019,44,2,299,314,10.1111/tran.12277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056277860&doi=10.1111%2ftran.12277&partnerID=40&md5=1b7079c102aa6625c7e6fa32a7c4d029,,,,Scopus
54,"""environment*"" AND ""equilibrium"" OR ""environment*"" AND ""narrative""",Dantas E.J.A.; Rosa L.P.; da Silva N.F.; Pereira M.G.,57209852698; 7006098669; 7006200628; 35254606700,1,1,NPF,1,1,1,3,4,4,,Estudo de caso da comunidade de galinhos para entender como a chegada de energia eólica dialoga com as comunidades que vivem ao redor do empreendimento ,,Brasil,Brasil,Brasil,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",,"Wind power on the Brazilian Northeast Coast, from the Whiff of Hope to Turbulent Convergence: The case of the Galinhos Wind Farms",Sustainability (Switzerland),English,Article,Galinhos; Invisibilization; Opposition; Perception; Wind power,,"The convergent narrative which proposes an energy transition, aiming to replace fossil fuels with renewable energies, has in wind power technology a viable option that can consolidate this view. Brazil produced 14.8 GW of wind powered energy in 2019, 85.7% of this total in the Northeastern region. Social and environmental fragilities of local communities, overlooked an exclusionary planning, have led to opposition movements against wind farm implementation. This study aims to assess how the arrival of wind power dialogues with the demands of the communities living in the projects' vicinities, as well as repercussions on institutional, socio-economic and environmental developments. A case study was conducted with regard to the Galinhos' community reaction to the arrival of wind power. First, public domain narratives were evaluated, in order to ascertain the different perceptions from the social actors involved in the process. Next, the community's vision was assessed regarding expectations and fears, created by the existence of the wind farm, before and after its implementation. The perception was that the wind farm did not change the population's socioeconomic conditions and environmental issues require appraisals by the accountable bodies. In this scenario, the materiality of the narrative that justifies wind farm expansion in the Brazilian northeast was assessed. © 2019 by the authors.","Federal Institute of Education, Science and Technology of Rio Grande do Norte (IFRN), Natal, 59015-000, Brazil; Energy Planning Program (PPE), Coordination of Post-Graduation Programs in Eng. of the Federal Univ. of Rio de Janeiro (COPPE/UFRJ), Rio de Janeiro, 21941-914, Brazil; Society for Urban Ecology, Salzburg, 5020, Austria; International Virtual Institute of Global Change (IVIG), Rio de Janeiro, 21941-909, Brazil; Electrical Power Research Center (CEPEL), Rio de Janeiro, 21944-970, Brazil","E.J.A. Dantas; Federal Institute of Education, Science and Technology of Rio Grande do Norte (IFRN), Natal, 59015-000, Brazil; email: eduardo.janser@ifrn.edu.br",,,,,,,5,,,,MDPI,,,20711050,,2.019,11,14,,,10.3390/su11143802,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068889646&doi=10.3390%2fsu11143802&partnerID=40&md5=213fefd3e377c31e906cabadf248353c,,,,Scopus
55,environmental politics ou política ambiental,Durand L.,,1,1,NPF,1,1,1,2,2,2,identidades locais ,Discursos e práticas conservacionistas como criadores de indentidades sociais na Zona comunitária lacandon e na reserva de Montes azuis,,México,México,México,Universidade Nacional Autonoma do México ,,"Power, identity and biodiversity conservation in the Montes Azules Biosphere Reserve, Chiapas, Mexico",Journal of Political Ecology,English,Article,Biodiversity; Conservation; Identity; Mexico; Power; Protected areas,biodiversity; conservation management; environmental politics; identity construction; political power; Chiapas; Lacandon Forest; Mexico [North America]; Montes Azules Biosphere Reserve,"In this article, I analyze how daily conservation discourse and practices create and recreate local identities through the reconfiguration of social relationships brought about by conservation encounters. The mobilization of identity has been a main strategy of the inhabitants of the Lacandon Community Zone and the Montes Azules Biosphere Reserve for maintaining their access to natural resources and benefitting from conservation. In the Lacandon Rainforest, conservation comes at great cost to the local population but, at the same time, offers an opportunity to access monetary and political resources. Because of this tension, the peasants build complex and fractured identities, in an iterative process, assuming different images as they struggle to reconcile their personal desires with the external plan to preserve the forest. Identity in the Lacandon Rainforest, as in other regions impacted by this practice, is a tool in the political struggle. © 2020, University of Arizona Libraries.",,,7102656583;,,"Consejo Nacional de Ciencia y Tecnología, CONACYT: 232898 Fondo I0010","1 Dr. Leticia Durand, Research Professor, Centro Regional de Investigaciones Multidisciplinarias, Universidad Nacional Autónoma de México, Cuernavaca, Morelos, México. Email: leticiad ""at"" unam.mx. I owe special thanks to the Department of Geography at the University of British Columbia, Vancouver, where I wrote this article, for hosting me as a visiting scientist between 2014 and 2015. I am grateful to Juanita Sundberg for her support and comments on the manuscript, and to all the people in the Lacandon Rainforest who share their stories with me. This article has benefitted considerably from the comments of two anonymous reviewers. This work was supported by CONACYT [232898 Fondo I0010] and PASPA-DGAPA-UNAM.",,,8,,,,,,,,,2.019,26,1,19,37,10.2458/v26i1.23160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079101547&doi=10.2458%2fv26i1.23160&partnerID=40&md5=98307a79ad257a40d5d73f9bedac1042,,,,Scopus
56,environmental politics ou política ambiental,"Salazar, JIC","Castro Salazar, Jesus Ignacio",1,1,PET,1,0,1,2,4,9,Percepção dos burocratas quanto a políticas de recursos naturais,como as políticas ambientais são implementadas - exeriências e percepções dos burocratas de nível de rua em Guanajuato,,México,México,México,Instituto Tecnológico Superior de Abasolo,,"Street-Level Bureaucrats: experiences and perceptions of inspectors in monitoring environmental policy regulations in natural resources in Guanajuato, Mexico, 2015- from 2015 to 2018",REVISTA MEXICANA DE ANALISIS POLITICO Y ADMINISTRACION PUBLICA,Spanish,Article,Street-Level Bureaucrats; environmental legislation; natural resources,,"Natural resources legislation is part of Mexican environmental policy. Monitoring compliance with legislation contributes to the management and conservation of resources and that offenders compensate for the damages generated. Inspection is a method used by the authorities to monitor compliance and achievement of objectives. In the country there is the Federal Attorney for Environmental Protection to monitor compliance with the law. Environmental inspectors are also called Street-level bureaucrats or 'frontline workers, who are in charge of performing inspection tasks in the field, but they are poorly studied. The present study, through interviews, addresses the experiences and perceptions of the bureaucrats at street-level of the Guanajuato Delegation Federal Attorney 19 within the framework of the application of natural resources legislation. Knowing the experiences and perceptions provides information on how the implementation actions of the environmental policy in the field actually happen. The findings show the existence of legal, territorial and material factors that limit the proper application of natural resources legislation.","[Castro Salazar, Jesus Ignacio] Univ Guanajuato, Guanajuato, Mexico","Salazar, JIC (autor correspondente), Univ Guanajuato, Guanajuato, Mexico.",,,,,,25,0,0,0,0,UNIV GUANAJUATO,GUANAJUATO,"LASCURAIN RETANA 5, CENTRO, GUANAJUATO, 36000, MEXICO",2007-4425,2007-4638,2.019,8,1,17,28,,,Political Science,Emerging Sources Citation Index (ESCI),Government & Law,View Full Record in Web of Science
